year,event_year,enso_oni_mean,enso_oni_sd,enso_oni_min,enso_oni_max,enso_oni_absmax,enso_el_nino_months,enso_la_nina_months,enso_neutral_months,enso_months_available,enso_dominant_phase,enso_any_el_nino,enso_any_la_nina,enso_oni_mean_lag1y,enso_oni_min_lag1y,enso_oni_max_lag1y,enso_oni_absmax_lag1y,enso_el_nino_months_lag1y,enso_la_nina_months_lag1y,enso_neutral_months_lag1y,enso_oni_mean_lag2y,enso_oni_min_lag2y,enso_oni_max_lag2y,enso_oni_absmax_lag2y,enso_el_nino_months_lag2y,enso_la_nina_months_lag2y,enso_neutral_months_lag2y,enso_oni_mean_lag3y,enso_oni_min_lag3y,enso_oni_max_lag3y,enso_oni_absmax_lag3y,enso_el_nino_months_lag3y,enso_la_nina_months_lag3y,enso_neutral_months_lag3y,enso_lag_oni_mean_last3m,enso_lag_oni_mean_last6m,enso_lag_oni_mean_last12m,enso_lag_oni_mean_last24m,enso_lag_oni_sd_last3m,enso_lag_oni_sd_last6m,enso_lag_oni_sd_last12m,enso_lag_oni_sd_last24m,enso_lag_oni_min_last3m,enso_lag_oni_min_last6m,enso_lag_oni_min_last12m,enso_lag_oni_min_last24m,enso_lag_oni_max_last3m,enso_lag_oni_max_last6m,enso_lag_oni_max_last12m,enso_lag_oni_max_last24m,enso_lag_el_nino_months_last3m,enso_lag_el_nino_months_last6m,enso_lag_el_nino_months_last12m,enso_lag_el_nino_months_last24m,enso_lag_la_nina_months_last3m,enso_lag_la_nina_months_last6m,enso_lag_la_nina_months_last12m,enso_lag_la_nina_months_last24m,enso_lag_neutral_months_last3m,enso_lag_neutral_months_last6m,enso_lag_neutral_months_last12m,enso_lag_neutral_months_last24m,enso_lag_months_available_last3m,enso_lag_months_available_last6m,enso_lag_months_available_last12m,enso_lag_months_available_last24m,enso_lag_dominant_phase_last3m,enso_lag_dominant_phase_last6m,enso_lag_dominant_phase_last12m,enso_lag_dominant_phase_last24m,oni_current,annual_enso_phase
1998,1998,-0.104242424242424,1.47409037180304,-1.57,2.24,2.24,4,6,1,11,La Nina,TRUE,TRUE,1.20848484848485,-0.503333333333333,2.4,2.4,7,1,3,-0.475151515151515,-0.903333333333333,-0.273333333333333,-0.903333333333333,0,3,8,-0.188484848484849,-1.00666666666667,0.96,-1.00666666666667,3,5,3,2.37444444444444,2.12777777777778,1.20848484848485,0.366666666666667,0.0359526437496966,0.321182998489208,1.16488565355514,1.18647715626052,2.33333333333333,1.6,-0.503333333333333,-0.903333333333333,2.4,2.4,2.4,2.4,3,6,7,7,0,0,1,4,0,0,3,11,3,6,11,22,El Nino,El Nino,El Nino,Neutral,-0.104242424242424,NEUTRAL
1999,1999,-1.2430303030303,0.224907163788156,-1.65666666666667,-0.973333333333333,-1.65666666666667,0,11,0,11,La Nina,FALSE,TRUE,-0.104242424242424,-1.57,2.24,2.24,4,6,1,1.20848484848485,-0.503333333333333,2.4,2.4,7,1,3,-0.475151515151515,-0.903333333333333,-0.273333333333333,-0.903333333333333,0,3,8,-1.46555555555556,-1.26833333333333,-0.104242424242424,0.552121212121212,0.11042007332271,0.282416162584383,1.47409037180304,1.46021689533897,-1.57,-1.57,-1.57,-1.57,-1.35,-0.783333333333333,2.24,2.4,0,0,4,11,3,6,6,7,0,0,1,4,3,6,11,22,La Nina,La Nina,La Nina,El Nino,-1.2430303030303,LA_NINA
2000,2000,-0.847575757575758,0.379406234673458,-1.66666666666667,-0.513333333333333,-1.66666666666667,0,11,0,11,La Nina,FALSE,TRUE,-1.2430303030303,-1.65666666666667,-0.973333333333333,-1.65666666666667,0,11,0,-0.104242424242424,-1.57,2.24,2.24,4,6,1,1.20848484848485,-0.503333333333333,2.4,2.4,7,1,3,-1.46,-1.29055555555556,-1.2430303030303,-0.673636363636364,0.198354340624158,0.224918915430691,0.224907163788156,1.18256912908707,-1.65666666666667,-1.65666666666667,-1.65666666666667,-1.65666666666667,-1.26,-1.09666666666667,-0.973333333333333,2.24,0,0,0,4,3,6,11,17,0,0,0,1,3,6,11,22,La Nina,La Nina,La Nina,La Nina,-0.847575757575758,LA_NINA
2001,2001,-0.311818181818182,0.183916428100517,-0.68,-0.0733333333333333,-0.68,0,2,9,11,Neutral,FALSE,TRUE,-0.847575757575758,-1.66666666666667,-0.513333333333333,-1.66666666666667,0,11,0,-1.2430303030303,-1.65666666666667,-0.973333333333333,-1.65666666666667,0,11,0,-0.104242424242424,-1.57,2.24,2.24,4,6,1,-0.704444444444444,-0.621111111111111,-0.847575757575758,-1.04530303030303,0.0674399595799712,0.1016675774094,0.379406234673458,0.365502711128429,-0.746666666666667,-0.746666666666667,-1.66666666666667,-1.66666666666667,-0.626666666666667,-0.513333333333333,-0.513333333333333,-0.513333333333333,0,0,0,0,3,6,11,22,0,0,0,0,3,6,11,22,La Nina,La Nina,La Nina,La Nina,-0.311818181818182,NEUTRAL
2002,2002,0.649393939393939,0.520279450940268,-0.15,1.30666666666667,1.30666666666667,7,0,4,11,El Nino,TRUE,FALSE,-0.311818181818182,-0.68,-0.0733333333333333,-0.68,0,2,9,-0.847575757575758,-1.66666666666667,-0.513333333333333,-1.66666666666667,0,11,0,-1.2430303030303,-1.65666666666667,-0.973333333333333,-1.65666666666667,0,11,0,-0.315555555555556,-0.222777777777778,-0.311818181818182,-0.57969696969697,0.0309719108105919,0.109532677349764,0.183916428100517,0.399788183455429,-0.35,-0.35,-0.68,-1.66666666666667,-0.29,-0.0733333333333333,-0.0733333333333333,-0.0733333333333333,0,0,0,0,0,0,2,13,3,6,9,9,3,6,11,22,Neutral,Neutral,Neutral,La Nina,0.649393939393939,EL_NINO
2003,2003,0.295757575757576,0.298444451965673,-0.163333333333333,0.916666666666667,0.916666666666667,2,0,9,11,Neutral,TRUE,FALSE,0.649393939393939,-0.15,1.30666666666667,1.30666666666667,7,0,4,-0.311818181818182,-0.68,-0.0733333333333333,-0.68,0,2,9,-0.847575757575758,-1.66666666666667,-0.513333333333333,-1.66666666666667,0,11,0,1.21777777777778,1.05222222222222,0.649393939393939,0.168787878787879,0.0838870492807862,0.201402489962172,0.520279450940268,0.62208434877349,1.14,0.79,-0.15,-0.68,1.30666666666667,1.30666666666667,1.30666666666667,1.30666666666667,3,6,7,7,0,0,0,2,0,0,4,13,3,6,11,22,El Nino,El Nino,El Nino,Neutral,0.295757575757576,NEUTRAL
2004,2004,0.472424242424243,0.205302437659885,0.17,0.7,0.7,5,0,6,11,Neutral,TRUE,FALSE,0.295757575757576,-0.163333333333333,0.916666666666667,0.916666666666667,2,0,9,0.649393939393939,-0.15,1.30666666666667,1.30666666666667,7,0,4,-0.311818181818182,-0.68,-0.0733333333333333,-0.68,0,2,9,0.328888888888889,0.255,0.295757575757576,0.472575757575758,0.0365655170486763,0.102842922297388,0.298444451965673,0.451738478234534,0.286666666666667,0.0766666666666667,-0.163333333333333,-0.163333333333333,0.35,0.35,0.916666666666667,1.30666666666667,0,0,2,9,0,0,0,0,3,6,9,13,3,6,11,22,Neutral,Neutral,Neutral,Neutral,0.472424242424243,NEUTRAL
2005,2005,0.0190909090909091,0.476881282475794,-0.84,0.636666666666667,-0.84,2,2,7,11,Neutral,TRUE,TRUE,0.472424242424243,0.17,0.7,0.7,5,0,6,0.295757575757576,-0.163333333333333,0.916666666666667,0.916666666666667,2,0,9,0.649393939393939,-0.15,1.30666666666667,1.30666666666667,7,0,4,0.672222222222222,0.638333333333333,0.472424242424243,0.384090909090909,0.0134715062810912,0.0848200709999965,0.205302437659885,0.265817958590437,0.66,0.47,0.17,-0.163333333333333,0.686666666666667,0.7,0.7,0.916666666666667,3,5,5,7,0,0,0,0,0,1,6,15,3,6,11,22,El Nino,El Nino,Neutral,Neutral,0.0190909090909091,NEUTRAL
2006,2006,0.0927272727272727,0.665406839930476,-0.85,0.943333333333333,0.943333333333333,4,3,4,11,El Nino,TRUE,TRUE,0.0190909090909091,-0.84,0.636666666666667,-0.84,2,2,7,0.472424242424243,0.17,0.7,0.7,5,0,6,0.295757575757576,-0.163333333333333,0.916666666666667,0.916666666666667,2,0,9,-0.564444444444444,-0.331111111111111,0.0190909090909091,0.245757575757576,0.27837491372714,0.311331667851838,0.476881282475794,0.426835509521586,-0.84,-0.84,-0.84,-0.84,-0.283333333333333,-0.0566666666666667,0.636666666666667,0.7,0,0,2,7,2,2,2,2,1,4,7,13,3,6,11,22,La Nina,Neutral,Neutral,Neutral,0.0927272727272727,NEUTRAL
2007,2007,-0.628787878787879,0.720167068158914,-1.59666666666667,0.656666666666667,-1.59666666666667,1,6,4,11,La Nina,TRUE,TRUE,0.0927272727272727,-0.85,0.943333333333333,0.943333333333333,4,3,4,0.0190909090909091,-0.84,0.636666666666667,-0.84,2,2,7,0.472424242424243,0.17,0.7,0.7,5,0,6,0.883333333333333,0.6,0.0927272727272727,0.0559090909090909,0.103923048454133,0.345214908909412,0.665406839930476,0.56617526014868,0.763333333333333,0.106666666666667,-0.85,-0.85,0.943333333333333,0.943333333333333,0.943333333333333,0.943333333333333,3,4,4,6,0,0,3,5,0,2,4,11,3,6,11,22,El Nino,El Nino,El Nino,Neutral,-0.628787878787879,LA_NINA
