year,cases,population,municipalities,rows,event_municipality_years,missing_population_rows,incidence_100k,oni_current,oni_lag1y,oni_lag2y,oni_lag3y,enso_phase_plot,enso_phase_current,enso_phase_lag1y,enso_phase_lag2y,enso_phase_lag3y,year_centered,log_population_offset
1998,92,190755799,5570,5570,60,5,0.0482292021958399,-0.104242424242424,1.20848484848485,-0.475151515151515,-0.188484848484849,NEUTRAL,Neutral,El Nino,Neutral,Neutral,-13,19.0665046287152
1999,54,190755799,5570,5570,34,5,0.0283084447671234,-1.2430303030303,-0.104242424242424,1.20848484848485,-0.475151515151515,LA_NINA,La Nina,Neutral,El Nino,Neutral,-12,19.0665046287152
2000,32,190755799,5570,5570,27,5,0.0167753746768139,-0.847575757575758,-1.2430303030303,-0.104242424242424,1.20848484848485,LA_NINA,La Nina,La Nina,Neutral,El Nino,-11,19.0665046287152
2001,34,172409661,5570,5570,24,5,0.019720472624791,-0.311818181818182,-0.847575757575758,-1.2430303030303,-0.104242424242424,NEUTRAL,Neutral,La Nina,La Nina,Neutral,-10,18.9653839529068
2002,45,174656795,5570,5570,32,5,0.0257648149331951,0.649393939393939,-0.311818181818182,-0.847575757575758,-1.2430303030303,EL_NINO,El Nino,Neutral,La Nina,La Nina,-9,18.9783334348445
2003,45,176895272,5570,5570,40,5,0.0254387805232013,0.295757575757576,0.649393939393939,-0.311818181818182,-0.847575757575758,NEUTRAL,Neutral,El Nino,Neutral,La Nina,-8,18.9910684318085
2004,45,181589092,5570,5570,34,5,0.0247812241937968,0.472424242424243,0.295757575757576,0.649393939393939,-0.311818181818182,NEUTRAL,Neutral,Neutral,El Nino,Neutral,-7,19.0172569562481
2005,29,184192332,5570,5570,23,5,0.0157444122049554,0.0190909090909091,0.472424242424243,0.295757575757576,0.649393939393939,NEUTRAL,Neutral,Neutral,Neutral,El Nino,-6,19.0314910522545
2006,36,186778630,5570,5570,33,5,0.019274153579561,0.0927272727272727,0.0190909090909091,0.472424242424243,0.295757575757576,NEUTRAL,Neutral,Neutral,Neutral,Neutral,-5,19.0454346767865
2007,46,190755799,5570,5570,34,5,0.02411460109792,-0.628787878787879,0.0927272727272727,0.0190909090909091,0.472424242424243,LA_NINA,La Nina,Neutral,Neutral,Neutral,-4,19.0665046287152
