municipality_code_6,cases,person_years,years_in_period,rows,event_years,missing_population_rows,municipality_name,uf_abbrev,state_code,region,annualized_incidence_100k,cumulative_cases,period_label,period_id,start_year,end_year
110001,0,672640,27,27,0,0,Alta Floresta d'Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110002,1,2557862,27,27,1,0,Ariquemes,,11,,0.0390951505593343,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
110003,0,171321,27,27,0,0,Cabixi,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110004,3,2209980,27,27,2,0,Cacoal,,11,,0.135747834822035,3,Overall period | 1998-2024,overall_1998_2024,1998,2024
110005,0,461618,27,27,0,0,Cerejeiras,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110006,1,488606,27,27,1,0,Colorado do Oeste,,11,,0.20466388050904,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
110007,0,235895,27,27,0,0,Corumbiara,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110008,0,387069,27,27,0,0,Costa Marques,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110009,0,803912,27,27,0,0,Espigão d'Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110010,0,1157809,27,27,0,0,Guajará-Mirim,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110011,0,1444337,27,27,0,0,Jaru,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110012,1,3263541,27,27,1,0,Ji-Paraná,,11,,0.0306415638718803,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
110013,0,890407,27,27,0,0,Machadinho d'Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110014,0,518108,27,27,0,0,Nova Brasilândia d'Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110015,0,1035375,27,27,0,0,Ouro Preto do Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110018,0,938065,27,27,0,0,Pimenta Bueno,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110020,4,12048456,27,27,4,0,Porto Velho,,11,,0.0331992746622472,4,Overall period | 1998-2024,overall_1998_2024,1998,2024
110025,0,602104,27,27,0,0,Presidente Médici,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110026,0,94525,27,27,0,0,Rio Crespo,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110028,0,1427018,27,27,0,0,Rolim de Moura,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110029,0,238958,27,27,0,0,Santa Luzia d'Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110030,1,2206569,27,27,1,0,Vilhena,,11,,0.0453192263645506,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
110032,0,647187,27,27,0,0,São Miguel do Guaporé,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110033,0,654101,27,27,0,0,Nova Mamoré,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110034,0,451788,27,27,0,0,Alvorada d'Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110037,0,357909,27,27,0,0,Alto Alegre dos Parecis,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110040,0,484545,27,27,0,0,Alto Paraíso,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110045,0,949530,27,27,0,0,Buritis,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110050,0,275450,27,27,0,0,Novo Horizonte do Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110060,0,153688,27,27,0,0,Cacaulândia,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110070,1,364764,27,27,1,0,Campo Novo de Rondônia,,11,,0.27414986128017,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
110080,1,566657,27,27,1,0,Candeias do Jamari,,11,,0.176473598667271,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
110090,0,97221,27,27,0,0,Castanheiras,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110092,0,236205,27,27,0,0,Chupinguaia,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110094,0,444469,27,27,0,0,Cujubim,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110100,0,302736,27,27,0,0,Governador Jorge Teixeira,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110110,0,243046,27,27,0,0,Itapuã do Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110120,0,273223,27,27,0,0,Ministro Andreazza,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110130,0,323837,27,27,0,0,Mirante da Serra,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110140,0,394224,27,27,0,0,Monte Negro,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110143,0,208232,27,27,0,0,Nova União,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110145,0,129260,27,27,0,0,Parecis,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110146,0,63935,27,27,0,0,Pimenteiras do Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110147,0,96457,27,27,0,0,Primavera de Rondônia,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110148,0,165018,27,27,0,0,São Felipe d'Oeste,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110149,0,464591,27,27,0,0,São Francisco do Guaporé,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110150,0,338158,27,27,0,0,Seringueiras,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110155,0,134027,27,27,0,0,Teixeirópolis,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110160,0,296843,27,27,0,0,Theobroma,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110170,0,362596,27,27,0,0,Urupá,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110175,0,265703,27,27,0,0,Vale do Anari,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
110180,0,224282,27,27,0,0,Vale do Paraíso,,11,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120001,0,345506,27,27,0,0,Acrelândia,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120005,0,168341,27,27,0,0,Assis Brasil,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120010,0,601843,27,27,0,0,Brasiléia,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120013,0,244939,27,27,0,0,Bujari,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120017,0,250501,27,27,0,0,Capixaba,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120020,1,2214185,27,27,1,0,Cruzeiro do Sul,,12,,0.0451633445263156,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
120025,0,426020,27,27,0,0,Epitaciolândia,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120030,0,900564,27,27,0,0,Feijó,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120032,0,186096,27,27,0,0,Jordão,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120033,0,431047,27,27,0,0,Mâncio Lima,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120034,0,232035,27,27,0,0,Manoel Urbano,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120035,0,392190,27,27,0,0,Marechal Thaumaturgo,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120038,0,474571,27,27,0,0,Plácido de Castro,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120039,0,248281,27,27,0,0,Porto Walter,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120040,1,9298741,27,27,1,0,Rio Branco,,12,,0.0107541440287454,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
120042,0,389654,27,27,0,0,Rodrigues Alves,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120043,0,135723,27,27,0,0,Santa Rosa do Purus,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120045,0,567821,27,27,0,0,Senador Guiomard,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120050,0,1049656,27,27,0,0,Sena Madureira,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120060,1,987357,27,27,1,0,Tarauacá,,12,,0.101280489225275,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
120070,0,442320,27,27,0,0,Xapuri,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
120080,0,414987,27,27,0,0,Porto Acre,,12,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130002,0,398517,27,27,0,0,Alvarães,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130006,0,268149,27,27,0,0,Amaturá,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130008,0,277124,27,27,0,0,Anamã,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130010,0,451722,27,27,0,0,Anori,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130014,0,521656,27,27,0,0,Apuí,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130020,0,418982,27,27,0,0,Atalaia do Norte,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130030,0,926495,27,27,0,0,Autazes,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130040,1,711996,27,27,1,0,Barcelos,,13,,0.140450227248468,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
130050,0,776700,27,27,0,0,Barreirinha,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130060,0,936079,27,27,0,0,Benjamin Constant,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130063,0,447418,27,27,0,0,Beruri,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130068,0,443154,27,27,0,0,Boa Vista do Ramos,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130070,1,858663,27,27,1,0,Boca do Acre,,13,,0.116460124635625,1,Overall period | 1998-2024,overall_1998_2024,1998,2024
130080,0,973599,27,27,0,0,Borba,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130083,0,313126,27,27,0,0,Caapiranga,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130090,0,366814,27,27,0,0,Canutama,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130100,0,725010,27,27,0,0,Carauari,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130110,0,878620,27,27,0,0,Careiro,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130115,0,640240,27,27,0,0,Careiro da Várzea,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130120,0,2112031,27,27,0,0,Coari,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130130,0,632272,27,27,0,0,Codajás,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130140,0,861168,27,27,0,0,Eirunepé,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130150,0,476665,27,27,0,0,Envira,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130160,0,668142,27,27,0,0,Fonte Boa,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130165,0,393317,27,27,0,0,Guajará,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130170,0,1231187,27,27,0,0,Humaitá,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130180,0,621403,27,27,0,0,Ipixuna,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130185,0,1196170,27,27,0,0,Iranduba,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130190,0,2466560,27,27,0,0,Itacoatiara,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130195,0,227380,27,27,0,0,Itamarati,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130200,0,238722,27,27,0,0,Itapiranga,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130210,0,193148,27,27,0,0,Japurá,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130220,0,297471,27,27,0,0,Juruá,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130230,0,531370,27,27,0,0,Jutaí,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130240,0,1049407,27,27,0,0,Lábrea,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130250,0,2428602,27,27,0,0,Manacapuru,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130255,0,607432,27,27,0,0,Manaquiri,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
130260,2,51041425,27,27,2,0,Manaus,,13,,0.0039183858992965,2,Overall period | 1998-2024,overall_1998_2024,1998,2024
130270,0,1308017,27,27,0,0,Manicoré,,13,,0,0,Overall period | 1998-2024,overall_1998_2024,1998,2024
