period_id,period_label,municipality_code_6,municipality_name,uf_abbrev,region,cases,person_years,annualized_incidence_100k,years_in_period
overall_1998_2024,Overall period | 1998-2024,220535,João Costa,,,2,81719,2.44741125074952,27
overall_1998_2024,Overall period | 1998-2024,150125,Bannach,,,2,94759,2.11061746113826,27
overall_1998_2024,Overall period | 1998-2024,521410,Mutunópolis,,,2,103923,1.92450179459792,27
overall_1998_2024,Overall period | 1998-2024,170360,Brasilândia do Tocantins,,,1,56606,1.7665971805109,27
overall_1998_2024,Overall period | 1998-2024,211285,Vila Nova dos Martírios,,,5,290680,1.72010458235861,27
overall_1998_2024,Overall period | 1998-2024,520945,Guarinos,,,1,59884,1.6698951305858,27
overall_1998_2024,Overall period | 1998-2024,220285,Coronel José Dias,,,2,122267,1.63576435178748,27
overall_1998_2024,Overall period | 1998-2024,171180,Juarina,,,1,61854,1.61671031784525,27
overall_1998_2024,Overall period | 1998-2024,330515,São José do Vale do Rio Preto,,,9,566672,1.58822034616145,27
overall_1998_2024,Overall period | 1998-2024,355715,Zacarias,,,1,64841,1.54223408028871,27
overall_1998_2024,Overall period | 1998-2024,314230,Moeda,,,2,130326,1.53461320074275,27
overall_1998_2024,Overall period | 1998-2024,352950,Mendonça,,,2,130864,1.52830419366671,27
overall_1998_2024,Overall period | 1998-2024,353910,Pirapora do Bom Jesus,,,6,447402,1.3410758110156,27
overall_1998_2024,Overall period | 1998-2024,355365,Taquaral,,,1,75289,1.32821527713212,27
overall_1998_2024,Overall period | 1998-2024,432370,Vista Gaúcha,,,1,75348,1.32717524021872,27
overall_1998_2024,Overall period | 1998-2024,315010,Piau,,,1,77739,1.28635562587633,27
overall_1998_2024,Overall period | 1998-2024,313000,Ibituruna,,,1,78042,1.28136131826452,27
overall_1998_2024,Overall period | 1998-2024,310440,Argirita,,,1,79023,1.26545436138846,27
overall_1998_2024,Overall period | 1998-2024,250290,Brejo dos Santos,,,2,165408,1.20913136003095,27
overall_1998_2024,Overall period | 1998-2024,170305,Bandeirantes do Tocantins,,,1,85062,1.17561308222238,27
overall_1998_2024,Overall period | 1998-2024,170105,Angico,,,1,85560,1.16877045348294,27
overall_1998_2024,Overall period | 1998-2024,315300,Pratinha,,,1,90842,1.10081239955087,27
overall_1998_2024,Overall period | 1998-2024,316520,São Tomé das Letras,,,2,183495,1.08994795498515,27
overall_1998_2024,Overall period | 1998-2024,317050,Urucânia,,,3,281336,1.0663406034066,27
overall_1998_2024,Overall period | 1998-2024,314160,Mercês,,,3,283100,1.05969622041681,27
period_1_1998_2004,Period 1 | 1998-2004,521525,Novo Planalto,,,1,24477,4.0854679903583,7
period_1_1998_2004,Period 1 | 1998-2004,330412,Quatis,,,3,83531,3.59148100705127,7
period_1_1998_2004,Period 1 | 1998-2004,352980,Mineiros do Tietê,,,3,83999,3.57147108894154,7
period_1_1998_2004,Period 1 | 1998-2004,354310,Ribeirão Corrente,,,1,29097,3.4367804240987,7
period_1_1998_2004,Period 1 | 1998-2004,310410,Arceburgo,,,2,61565,3.24859904166328,7
period_1_1998_2004,Period 1 | 1998-2004,220115,Baixa Grande do Ribeiro,,,2,64533,3.09918956192956,7
period_1_1998_2004,Period 1 | 1998-2004,314440,Natércia,,,1,32873,3.04201016031394,7
period_1_1998_2004,Period 1 | 1998-2004,410754,Espigão Alto do Iguaçu,,,1,34885,2.86656155940949,7
period_1_1998_2004,Period 1 | 1998-2004,354700,Santa Maria da Serra,,,1,35298,2.83302170094623,7
