municipality_code_6,municipality_name_future,municipality_name_future_summary,municipality_name_final,uf_abbrev,region,scenario_period_label,predicted_future_rate_annual_100k,current_predicted_current_rate_annual_100k,future_minus_current_rate_annual_100k,percent_change_from_current
510455,Itaúba,Itaúba,Itaúba,MT,Central-West,SSP585 | 2061-2080,1.6929,0.092,1.6009,1739.8917
510452,Ipiranga do Norte,Ipiranga do Norte,Ipiranga do Norte,MT,Central-West,SSP585 | 2061-2080,1.2102,0.1162,1.094,941.8439
510794,Tabaporã,Tabaporã,Tabaporã,MT,Central-West,SSP585 | 2061-2080,1.159,0.129,1.03,798.6876
510305,Cláudia,Cláudia,Cláudia,MT,Central-West,SSP585 | 2061-2080,1.1405,0.1368,1.0037,733.56
510320,Colíder,Colíder,Colíder,MT,Central-West,SSP585 | 2061-2080,1.2885,0.2856,1.0029,351.145
510677,Porto Alegre do Norte,Porto Alegre do Norte,Porto Alegre do Norte,MT,Central-West,SSP585 | 2061-2080,1.0381,0.0619,0.9762,1577.3884
510619,Nova Santa Helena,Nova Santa Helena,Nova Santa Helena,MT,Central-West,SSP585 | 2061-2080,1.0229,0.0647,0.9582,1481.474
171510,Novo Acordo,Novo Acordo,Novo Acordo,TO,North,SSP585 | 2061-2080,1.0011,0.0737,0.9274,1257.5806
510627,Novo Horizonte do Norte,Novo Horizonte do Norte,Novo Horizonte do Norte,MT,Central-West,SSP585 | 2061-2080,1.0257,0.1028,0.9229,897.4682
510558,Marcelândia,Marcelândia,Marcelândia,MT,Central-West,SSP585 | 2061-2080,0.9978,0.0859,0.9119,1062.1148
510680,Porto dos Gaúchos,Porto dos Gaúchos,Porto dos Gaúchos,MT,Central-West,SSP585 | 2061-2080,0.937,0.1033,0.8337,807.3191
510777,Santa Terezinha,Santa Terezinha,Santa Terezinha,MT,Central-West,SSP585 | 2061-2080,0.9417,0.1104,0.8313,752.9449
510790,Sinop,Sinop,Sinop,MT,Central-West,SSP585 | 2061-2080,0.908,0.1017,0.8063,792.5768
171200,Lajeado,Lajeado,Lajeado,TO,North,SSP585 | 2061-2080,0.7796,0.0439,0.7357,1675.5958
510860,Vila Rica,Vila Rica,Vila Rica,MT,Central-West,SSP585 | 2061-2080,0.773,0.0485,0.7245,1492.9937
172110,Tocantínia,Tocantínia,Tocantínia,TO,North,SSP585 | 2061-2080,0.7658,0.0458,0.72,1573.5453
510805,Terra Nova do Norte,Terra Nova do Norte,Terra Nova do Norte,MT,Central-West,SSP585 | 2061-2080,1.0524,0.3726,0.6798,182.4303
510510,Juara,Juara,Juara,MT,Central-West,SSP585 | 2061-2080,0.735,0.0565,0.6785,1201.9514
171650,Pedro Afonso,Pedro Afonso,Pedro Afonso,TO,North,SSP585 | 2061-2080,0.7184,0.0477,0.6707,1405.3989
171875,Rio Sono,Rio Sono,Rio Sono,TO,North,SSP585 | 2061-2080,0.7162,0.0484,0.6678,1380.3917
220115,Baixa Grande do Ribeiro,Baixa Grande do Ribeiro,Baixa Grande do Ribeiro,PI,Northeast,SSP585 | 2061-2080,0.7642,0.099,0.6652,672.0697
210790,Passagem Franca,Passagem Franca,Passagem Franca,MA,Northeast,SSP585 | 2061-2080,0.7196,0.088,0.6315,717.4199
510621,Nova Canaã do Norte,Nova Canaã do Norte,Nova Canaã do Norte,MT,Central-West,SSP585 | 2061-2080,0.7549,0.141,0.6139,435.259
221050,São Pedro do Piauí,São Pedro do Piauí,São Pedro do Piauí,PI,Northeast,SSP585 | 2061-2080,0.6705,0.0669,0.6037,902.9646
171320,Miracema do Tocantins,Miracema do Tocantins,Miracema do Tocantins,TO,North,SSP585 | 2061-2080,0.6379,0.0368,0.601,1631.2708
