uf_abbrev,region,scenario_period_label,municipalities,complete_predictions,median_current_rate_annual_100k,median_future_rate_annual_100k,median_future_minus_current_rate_annual_100k,median_percent_change_from_current,municipalities_higher_than_current,municipalities_lower_than_current
PI,Northeast,SSP585 | 2061-2080,224,220,0.0714,0.3292,0.257,333.6907,220,0
RR,North,SSP585 | 2061-2080,15,15,0.0653,0.3173,0.2474,303.6722,15,0
TO,North,SSP585 | 2061-2080,139,139,0.0678,0.3119,0.2289,269.2721,139,0
MT,Central-West,SSP585 | 2061-2080,141,141,0.0749,0.2642,0.1897,205.9339,141,0
RO,North,SSP585 | 2061-2080,52,50,0.0385,0.2123,0.1698,405.8602,50,0
DF,Central-West,SSP585 | 2061-2080,1,1,0.0628,0.1781,0.1154,183.7921,1,0
PA,North,SSP585 | 2061-2080,144,135,0.0428,0.1412,0.1019,211.4294,135,0
MG,Southeast,SSP585 | 2061-2080,853,827,0.0724,0.1777,0.1017,135.6854,826,1
MA,Northeast,SSP585 | 2061-2080,217,207,0.0518,0.1504,0.0746,129.8662,207,0
GO,Central-West,SSP585 | 2061-2080,246,238,0.0304,0.0962,0.0615,225.4306,238,0
MS,Central-West,SSP585 | 2061-2080,79,79,0.0413,0.0976,0.0561,138.0138,79,0
SP,Southeast,SSP585 | 2061-2080,645,574,0.0532,0.1099,0.0556,100.523,574,0
CE,Northeast,SSP585 | 2061-2080,184,179,0.0338,0.0875,0.0522,141.9477,177,2
AP,North,SSP585 | 2061-2080,16,15,0.0161,0.0492,0.0317,201.8138,15,0
RJ,Southeast,SSP585 | 2061-2080,92,73,0.0388,0.0764,0.0281,73.9662,73,0
BA,Northeast,SSP585 | 2061-2080,417,404,0.0164,0.0433,0.0274,167.9576,404,0
AM,North,SSP585 | 2061-2080,62,61,0.0172,0.0431,0.0256,174.5431,61,0
PB,Northeast,SSP585 | 2061-2080,223,215,0.0196,0.0464,0.0246,123.3562,215,0
PE,Northeast,SSP585 | 2061-2080,185,178,0.0212,0.0446,0.0233,120.4876,178,0
ES,Southeast,SSP585 | 2061-2080,78,75,0.0248,0.0474,0.023,107.0365,74,1
PR,South,SSP585 | 2061-2080,399,384,0.0206,0.0421,0.0213,104.6875,384,0
RN,Northeast,SSP585 | 2061-2080,167,155,0.0211,0.0443,0.0206,105.8674,155,0
AC,North,SSP585 | 2061-2080,22,22,0.0149,0.0334,0.0188,120.9394,22,0
AL,Northeast,SSP585 | 2061-2080,102,95,0.0171,0.0331,0.0156,98.03,95,0
SE,Northeast,SSP585 | 2061-2080,75,70,0.0134,0.0275,0.0132,95.4286,70,0
SC,South,SSP585 | 2061-2080,295,263,0.0158,0.027,0.0109,62.7575,260,3
RS,South,SSP585 | 2061-2080,497,470,0.0086,0.0138,0.0052,61.021,467,3
