municipality_code_6,municipality_name_future,municipality_name_final,uf_abbrev,region,scenario_period_label,predicted_future_rate_annual_100k,current_predicted_current_rate_annual_100k,future_minus_current_rate_annual_100k,percent_change_from_current,rank_future_rate,rank_absolute_increase,priority_score
510455,Itaúba,Itaúba,MT,Central-West,SSP585 | 2061-2080,1.6929,0.092,1.6009,1739.8917,1,1,2
510452,Ipiranga do Norte,Ipiranga do Norte,MT,Central-West,SSP585 | 2061-2080,1.2102,0.1162,1.094,941.8439,3,2,5
510320,Colíder,Colíder,MT,Central-West,SSP585 | 2061-2080,1.2885,0.2856,1.0029,351.145,2,5,7
510794,Tabaporã,Tabaporã,MT,Central-West,SSP585 | 2061-2080,1.159,0.129,1.03,798.6876,4,3,7
510305,Cláudia,Cláudia,MT,Central-West,SSP585 | 2061-2080,1.1405,0.1368,1.0037,733.56,5,4,9
510677,Porto Alegre do Norte,Porto Alegre do Norte,MT,Central-West,SSP585 | 2061-2080,1.0381,0.0619,0.9762,1577.3884,7,6,13
510619,Nova Santa Helena,Nova Santa Helena,MT,Central-West,SSP585 | 2061-2080,1.0229,0.0647,0.9582,1481.474,9,7,16
510627,Novo Horizonte do Norte,Novo Horizonte do Norte,MT,Central-West,SSP585 | 2061-2080,1.0257,0.1028,0.9229,897.4682,8,9,17
171510,Novo Acordo,Novo Acordo,TO,North,SSP585 | 2061-2080,1.0011,0.0737,0.9274,1257.5806,10,8,18
510558,Marcelândia,Marcelândia,MT,Central-West,SSP585 | 2061-2080,0.9978,0.0859,0.9119,1062.1148,11,10,21
510805,Terra Nova do Norte,Terra Nova do Norte,MT,Central-West,SSP585 | 2061-2080,1.0524,0.3726,0.6798,182.4303,6,17,23
510680,Porto dos Gaúchos,Porto dos Gaúchos,MT,Central-West,SSP585 | 2061-2080,0.937,0.1033,0.8337,807.3191,13,11,24
510777,Santa Terezinha,Santa Terezinha,MT,Central-West,SSP585 | 2061-2080,0.9417,0.1104,0.8313,752.9449,12,12,24
510790,Sinop,Sinop,MT,Central-West,SSP585 | 2061-2080,0.908,0.1017,0.8063,792.5768,14,13,27
171200,Lajeado,Lajeado,TO,North,SSP585 | 2061-2080,0.7796,0.0439,0.7357,1675.5958,19,14,33
510860,Vila Rica,Vila Rica,MT,Central-West,SSP585 | 2061-2080,0.773,0.0485,0.7245,1492.9937,20,15,35
172110,Tocantínia,Tocantínia,TO,North,SSP585 | 2061-2080,0.7658,0.0458,0.72,1573.5453,21,16,37
510510,Juara,Juara,MT,Central-West,SSP585 | 2061-2080,0.735,0.0565,0.6785,1201.9514,24,18,42
220115,Baixa Grande do Ribeiro,Baixa Grande do Ribeiro,PI,Northeast,SSP585 | 2061-2080,0.7642,0.099,0.6652,672.0697,22,21,43
171650,Pedro Afonso,Pedro Afonso,TO,North,SSP585 | 2061-2080,0.7184,0.0477,0.6707,1405.3989,26,19,45
510621,Nova Canaã do Norte,Nova Canaã do Norte,MT,Central-West,SSP585 | 2061-2080,0.7549,0.141,0.6139,435.259,23,23,46
510895,Nova Monte Verde,Nova Monte Verde,MT,Central-West,SSP585 | 2061-2080,0.7825,0.1978,0.5847,295.5338,18,28,46
171875,Rio Sono,Rio Sono,TO,North,SSP585 | 2061-2080,0.7162,0.0484,0.6678,1380.3917,27,20,47
210790,Passagem Franca,Passagem Franca,MA,Northeast,SSP585 | 2061-2080,0.7196,0.088,0.6315,717.4199,25,22,47
221050,São Pedro do Piauí,São Pedro do Piauí,PI,Northeast,SSP585 | 2061-2080,0.6705,0.0669,0.6037,902.9646,31,24,55
